Time,Date,Year,Month,Month_Num,Country,Value ($US)
2016,2016,2016,Annual,00,Mexico,230228833903.0
January 2016,2016-01-01,2016,January,01,Canada,19700273865.0
January 2016,2016-01-01,2016,January,01,Mexico,18045461091.0
February 2016,2016-02-01,2016,February,02,Canada,20904437760.0
February 2016,2016-02-01,2016,February,02,Mexico,18130906896.0
March 2016,2016-03-01,2016,March,03,Canada,23252724610.0
March 2016,2016-03-01,2016,March,03,Mexico,19294544003.0
April 2016,2016-04-01,2016,April,04,Canada,23349632992.0
April 2016,2016-04-01,2016,April,04,Mexico,19362162670.0
May 2016,2016-05-01,2016,May,05,Canada,23075089765.0
May 2016,2016-05-01,2016,May,05,Mexico,18991474630.0
June 2016,2016-06-01,2016,June,06,Canada,24254138346.0
June 2016,2016-06-01,2016,June,06,Mexico,19456251329.0
July 2016,2016-07-01,2016,July,07,Canada,20897796066.0
July 2016,2016-07-01,2016,July,07,Mexico,18347430648.0
August 2016,2016-08-01,2016,August,08,Canada,23264916944.0
August 2016,2016-08-01,2016,August,08,Mexico,20033911349.0
September 2016,2016-09-01,2016,September,09,Canada,22661275543.0
September 2016,2016-09-01,2016,September,09,Mexico,19719942704.0
October 2016,2016-10-01,2016,October,10,Canada,22601305096.0
October 2016,2016-10-01,2016,October,10,Mexico,20209212737.0
November 2016,2016-11-01,2016,November,11,Canada,21668474397.0
November 2016,2016-11-01,2016,November,11,Mexico,19566973130.0
December 2016,2016-12-01,2016,December,12,Canada,21104399836.0
December 2016,2016-12-01,2016,December,12,Mexico,19070562716.0
2017,2017,2017,Annual,00,Canada,282773829896.0
2017,2017,2017,Annual,00,Mexico,243608974625.0
January 2017,2017-01-01,2017,January,01,Canada,20911901914.0
January 2017,2017-01-01,2017,January,01,Mexico,19653772296.0
February 2017,2017-02-01,2017,February,02,Canada,21143655460.0
February 2017,2017-02-01,2017,February,02,Mexico,18230820576.0
March 2017,2017-03-01,2017,March,03,Canada,25001725984.0
March 2017,2017-03-01,2017,March,03,Mexico,21038609833.0
