Time,Date,Year,Month,Month_Num,Country,Value ($US)
2016,2016,2016,Annual,00,Mexico,293500606660.0
January 2016,2016-01-01,2016,January,01,Canada,22268349212.0
January 2016,2016-01-01,2016,January,01,Mexico,22337723342.0
February 2016,2016-02-01,2016,February,02,Canada,21813045546.0
February 2016,2016-02-01,2016,February,02,Mexico,23121746528.0
March 2016,2016-03-01,2016,March,03,Canada,23179425295.0
March 2016,2016-03-01,2016,March,03,Mexico,24692111632.0
April 2016,2016-04-01,2016,April,04,Canada,22220328435.0
April 2016,2016-04-01,2016,April,04,Mexico,24985773651.0
May 2016,2016-05-01,2016,May,05,Canada,23021956439.0
May 2016,2016-05-01,2016,May,05,Mexico,24761062479.0
June 2016,2016-06-01,2016,June,06,Canada,24231136914.0
June 2016,2016-06-01,2016,June,06,Mexico,24809622976.0
July 2016,2016-07-01,2016,July,07,Canada,21608554179.0
July 2016,2016-07-01,2016,July,07,Mexico,22944587756.0
August 2016,2016-08-01,2016,August,08,Canada,24216996580.0
August 2016,2016-08-01,2016,August,08,Mexico,25544937654.0
September 2016,2016-09-01,2016,September,09,Canada,23748952106.0
September 2016,2016-09-01,2016,September,09,Mexico,25122161150.0
October 2016,2016-10-01,2016,October,10,Canada,23848174844.0
October 2016,2016-10-01,2016,October,10,Mexico,26358862675.0
November 2016,2016-11-01,2016,November,11,Canada,24409721743.0
November 2016,2016-11-01,2016,November,11,Mexico,25358076600.0
December 2016,2016-12-01,2016,December,12,Canada,23153172188.0
December 2016,2016-12-01,2016,December,12,Mexico,23463940217.0
2017,2017,2017,Annual,00,Canada,299065421162.0
2017,2017,2017,Annual,00,Mexico,312666740496.0
January 2017,2017-01-01,2017,January,01,Canada,24390145396.0
January 2017,2017-01-01,2017,January,01,Mexico,23458559937.0
February 2017,2017-02-01,2017,February,02,Canada,23384615178.0
February 2017,2017-02-01,2017,February,02,Mexico,23806874965.0
March 2017,2017-03-01,2017,March,03,Canada,25997909759.0
March 2017,2017-03-01,2017,March,03,Mexico,27920627811.0
April 2017,2017-04-01,2017,April,04,Canada,24153678601.0
April 2017,2017-04-01,2017,April,04,Mexico,25017467801.0
May 2017,2017-05-01,2017,May,05,Canada,26288561062.0
May 2017,2017-05-01,2017,May,05,Mexico,27032582237.0
June 2017,2017-06-01,2017,June,06,Canada,25891007587.0
June 2017,2017-06-01,2017,June,06,Mexico,27153754084.0
