"Time","Country","Customs Value (Gen) ($US)",
"June 2017","Mexico","27,153,754,084"
"July 2017","Canada","22,800,971,236"
"July 2017","Mexico","24,514,745,410"
"August 2017","Canada","24,905,234,086"
"August 2017","Mexico","26,924,369,870"
"September 2017","Canada","24,211,011,221"
"September 2017","Mexico","25,731,991,377"
"October 2017","Canada","25,655,086,158"
"October 2017","Mexico","28,572,107,216"
"November 2017","Canada","26,131,356,710"
"November 2017","Mexico","27,481,066,952"
"December 2017","Canada","25,255,844,168"
"December 2017","Mexico","25,052,592,836"
"2018","Canada","318,574,772,746"
"2018","Mexico","343,680,540,510"
"January 2018","Canada","26,184,355,367"
"January 2018","Mexico","25,788,215,741"
"February 2018","Canada","23,997,422,647"
"February 2018","Mexico","25,777,142,669"
"March 2018","Canada","26,954,207,703"
"March 2018","Mexico","29,754,137,946"
"April 2018","Canada","26,533,322,153"
"April 2018","Mexico","27,895,040,348"
"May 2018","Canada","28,163,890,566"
"May 2018","Mexico","29,209,179,529"
"June 2018","Canada","28,040,367,902"
"June 2018","Mexico","29,349,892,896"
"July 2018","Canada","26,834,570,371"
"July 2018","Mexico","27,999,488,310"
"August 2018","Canada","27,958,942,171"
"August 2018","Mexico","30,885,907,159"
"September 2018","Canada","26,297,212,679"
"September 2018","Mexico","28,984,790,343"
"October 2018","Canada","28,054,861,875"
"October 2018","Mexico","31,636,756,798"
"November 2018","Canada","25,626,614,915"
"November 2018","Mexico","29,464,671,352"
"December 2018","Canada","23,929,004,397"
"December 2018","Mexico","26,935,317,419"
"2019","Canada","318,588,767,408"
"2019","Mexico","356,093,584,045"
"January 2019","Canada","23,348,268,866"
"January 2019","Mexico","27,557,995,759"
"February 2019","Canada","22,814,826,424"
"February 2019","Mexico","27,485,222,761"
"March 2019","Canada","27,549,187,939"
"March 2019","Mexico","31,111,754,186"
"April 2019","Canada","26,731,595,686"
"April 2019","Mexico","30,229,048,253"
"May 2019","Canada","29,196,405,509"
"May 2019","Mexico","31,907,669,816"
"June 2019","Canada","27,644,321,902"
"June 2019","Mexico","30,193,358,032"
"July 2019","Canada","26,760,527,218"
"July 2019","Mexico","29,953,511,976"
"August 2019","Canada","26,634,182,790"
"August 2019","Mexico","30,887,235,941"
"September 2019","Canada","26,851,540,839"
"September 2019","Mexico","29,273,757,502"
"October 2019","Canada","28,534,087,504"
"October 2019","Mexico","30,932,978,041"
"November 2019","Canada","25,240,122,410"
"November 2019","Mexico","29,060,754,817"
"December 2019","Canada","27,283,700,321"
"December 2019","Mexico","27,500,296,961"
"2020","Canada","270,025,523,613"
"2020","Mexico","323,476,917,991"
"January 2020","Canada","25,286,848,208"
"January 2020","Mexico","28,202,281,911"
"February 2020","Canada","24,339,034,042"
"February 2020","Mexico","28,903,203,952"
"March 2020","Canada","25,080,381,294"
"March 2020","Mexico","29,882,071,459"
"April 2020","Canada","14,936,992,515"
"April 2020","Mexico","15,771,982,737"
"May 2020","Canada","15,842,688,055"
"May 2020","Mexico","14,857,386,976"
"June 2020","Canada","20,315,178,877"
